keyword,volume
youtube,0.005456558748077181
facebook,0.005298854738017147
amazon,0.004068763459548881
gmail,0.002964835389128642
google,0.0027125089730325874
weather,0.001640121704624355
yahoo,0.0016085809026123482
ebay,0.0016085809026123482
walmart,0.0014508768925523142
yahoo mail,0.001427536699063429
netflix,0.0013877952885283005
google docs,9.954277114989354e-4
translate,9.777648623722117e-4
usps tracking,9.307690673743215e-4
news,9.14683258348198e-4
craigslist,9.14683258348198e-4
fox news,9.14683258348198e-4
cnn,8.288922768755394e-4
calculator,7.326928307389186e-4
hotmail,6.361779765821777e-4
roblox,6.308160402401366e-4
target,6.308160402401366e-4
instagram,5.677344362161229e-4
msn,5.677344362161229e-4
trump,5.412401625260371e-4
twitter,5.361936342041161e-4
bank of america,5.100147685341504e-4
new year,5.096993605140304e-4
maps,5.046528321921092e-4
nfl,4.415712281680956e-4
ups tracking,4.217005229005313e-4
pinterest,4.1003042615608875e-4
linkedin,4.1003042615608875e-4
espn,3.7848962414408193e-4
disney plus,3.7344309582216086e-4
etsy,3.6335003917831865e-4
usps,3.469488221320751e-4
finance,3.296013810254714e-4
aol,2.8575966622878185e-4
women's world cup 2019,2.58634576498456e-4
nba,2.4412580757293285e-4
you,2.3024785468764986e-4
amazon prime video,2.2047020606392773e-4
internet speed test,2.1006174139996548e-4
bed bath and beyond,2.0722306921888486e-4
ikea,1.977608286152828e-4
dow,1.8072879552879912e-4
food near me,1.7662849126723825e-4
united airlines,1.7568226720687805e-4
speedtest,1.7189737096543723e-4
