keyword,location,spell,spell_type,keyword_info_search_volume
you tubr,2840,youtube,showing_results_for,185000000
you tioump,2840,trump,did_you_mean,185000000
utyub,2840,youtube,showing_results_for,185000000
yyyooouuutttuuubbbeee,2840,youtube,did_you_mean,185000000
uyoutube,2840,youtube,showing_results_for,185000000
yuo tu e,2840,youtube,showing_results_for,185000000
jutu,2840,,,185000000
utune,2840,youtube,did_you_mean,185000000
yuhoutube,2840,,,185000000
yutobe,2840,youtube,showing_results_for,185000000
