volume,count,length
54293289030.002075,66033301,1
35358908890.0133,160446483,2
15362882480.002396,149904531,3
5586414929.9994545,95536731,4
1982847009.9999897,48837977,5
733099039.9999793,23304647,6
287416639.99999833,11376071,7
120196819.99999897,5741192,8
81333509.99999985,3007786,9
25314869.99999994,1579356,10
13510790.000000056,879518,11
6539519.999999966,469021,12
3183669.9999999884,229542,13
1288160.0000000002,97343,14
471500.0000000001,36831,15
145089.99999999985,12958,16
137409.99999999997,4769,17
61870.00000000004,1909,18
10530,725,19
5130,376,20
5990,168,21
900,116,22
200,84,23
61460,57,24
110310,45,25
2010.0000000000002,31,26
200.00000000000003,20,27
10,13,28
90.00000000000001,14,29
270,13,30
470,21,31
0,2,32
0,2,33
0,1,34
0,2,35
0,2,36
0,3,37
0,1,38
NA,0,39
NA,0,40
