volume,count,words
102137149750,67230863,1
40126708300,161686037,2
16454506770,150673405,3
5799193360,95921733,4
2026835760,49021156,5
747201640,23390561,6
292455350,11419413,7
122078950,5764911,8
82135440,3020609,9
27398090.000000004,1582927,10
13770060,881534,11
6695080,469984,12
3215610,230060,13
1298170,97554,14
487600,36908,15
149070,12994,16
687660,4780,17
62420,1915,18
10530,725,19
5150,378,20
5990,168,21
900,116,22
200,84,23
61470,58,24
110310,45,25
2010.0000000000002,31,26
200,20,27
10,13,28
90,14,29
270,13,30
470,21,31
0,2,32
0,2,33
0,1,34
0,2,35
0,2,36
0,3,37
0,1,38
NA,0,39
NA,0,40
NA,0,41
NA,0,42
NA,0,43
NA,0,44
NA,0,45
NA,0,46
NA,0,47
NA,0,48
NA,0,49
NA,0,50
